shipname|shipaddress|shipcity|shipregion|shippostalcode|shipcountry|customerid|customername|address|city|region|postalcode|country|salesperson|orderid|orderdate|requireddate|shippeddate|shippername|productid|productname|unitprice|quantity|discount|extendedprice|freight,,
"Laughing Bacchus Wine Cellars|""2319 Elm St.""|Vancouver|BC|V3F 2K1|Canada|LAUGB|Laughing Bacchus Wine Cellars|""1900 Oak St.""|Vancouver|BC|V3F 2K1|Canada|0.0|10810|""1998-01-01 00:00:00""|""1998-01-29 00:00:00""|""1998-01-07 00:00:00""|Federal Shipping|25|NuNuCa Nu-Nougat-Creme|14.0000|5|0.0|70.0|4.3300",,
"Laughing Bacchus Wine Cellars|""2319 Elm St.""|Vancouver|BC|V3F 2K1|Canada|LAUGB|Laughing Bacchus Wine Cellars|""1900 Oak St.""|Vancouver|BC|V3F 2K1|Canada|0.0|10810|""1998-01-01 00:00:00""|""1998-01-29 00:00:00""|""1998-01-07 00:00:00""|Federal Shipping|70|Outback Lager|15.0000|5|0.0|75.0|4.3300",,
"Save-a-lot Markets|""187 Suffolk Ln.""|Boise|ID|""83720""|USA|SAVEA|Save-a-lot Markets|""187 Suffolk Ln.""|Boise|ID|""83720""|USA|0.0|10815|""1998-01-05 00:00:00""|""1998-02-02 00:00:00""|""1998-01-14 00:00:00""|Federal Shipping|33|Geitost|2.5000|16|0.0|40.0|14.6200",,
"Cactus Comidas para llevar|Cerrito 333|Buenos Aires||""1010""|Argentina|CACTU|Cactus Comidas para llevar|Cerrito 333|Buenos Aires||""1010""|Argentina|0.0|10819|""1998-01-07 00:00:00""|""1998-02-04 00:00:00""|""1998-01-16 00:00:00""|Federal Shipping|43|Ipoh Coffee|46.0000|7|0.0|322.0|19.7600",,
"Cactus Comidas para llevar|Cerrito 333|Buenos Aires||""1010""|Argentina|CACTU|Cactus Comidas para llevar|Cerrito 333|Buenos Aires||""1010""|Argentina|0.0|10819|""1998-01-07 00:00:00""|""1998-02-04 00:00:00""|""1998-01-16 00:00:00""|Federal Shipping|75|Rhnbru Klosterbier|7.7500|20|0.0|155.0|19.7600",,
Suprmes dlices|Boulevard Tirou, 255|Charleroi||B-6000|Belgium|SUPRD|Suprmes dlices|Boulevard Tirou," 255|Charleroi||B-6000|Belgium|0.0|10846|""1998-01-22 00:00:00""|""1998-03-05 00:00:00""|""1998-01-23 00:00:00""|Federal Shipping|4|Chef Anton's Cajun Seasoning|22.0000|21|0.0|462.0|56.4600"
Suprmes dlices|Boulevard Tirou, 255|Charleroi||B-6000|Belgium|SUPRD|Suprmes dlices|Boulevard Tirou," 255|Charleroi||B-6000|Belgium|0.0|10846|""1998-01-22 00:00:00""|""1998-03-05 00:00:00""|""1998-01-23 00:00:00""|Federal Shipping|70|Outback Lager|15.0000|30|0.0|450.0|56.4600"
Suprmes dlices|Boulevard Tirou, 255|Charleroi||B-6000|Belgium|SUPRD|Suprmes dlices|Boulevard Tirou," 255|Charleroi||B-6000|Belgium|0.0|10846|""1998-01-22 00:00:00""|""1998-03-05 00:00:00""|""1998-01-23 00:00:00""|Federal Shipping|74|Longlife Tofu|10.0000|20|0.0|200.0|56.4600"
"Bottom-Dollar Markets|""23 Tsawassen Blvd.""|Tsawassen|BC|T2F 8M4|Canada|BOTTM|Bottom-Dollar Markets|""23 Tsawassen Blvd.""|Tsawassen|BC|T2F 8M4|Canada|0.0|10949|""1998-03-13 00:00:00""|""1998-04-10 00:00:00""|""1998-03-17 00:00:00""|Federal Shipping|6|Grandma's Boysenberry Spread|25.0000|12|0.0|300.0|74.4400",,
"Bottom-Dollar Markets|""23 Tsawassen Blvd.""|Tsawassen|BC|T2F 8M4|Canada|BOTTM|Bottom-Dollar Markets|""23 Tsawassen Blvd.""|Tsawassen|BC|T2F 8M4|Canada|0.0|10949|""1998-03-13 00:00:00""|""1998-04-10 00:00:00""|""1998-03-17 00:00:00""|Federal Shipping|10|Ikura|31.0000|30|0.0|930.0|74.4400",,
"Bottom-Dollar Markets|""23 Tsawassen Blvd.""|Tsawassen|BC|T2F 8M4|Canada|BOTTM|Bottom-Dollar Markets|""23 Tsawassen Blvd.""|Tsawassen|BC|T2F 8M4|Canada|0.0|10949|""1998-03-13 00:00:00""|""1998-04-10 00:00:00""|""1998-03-17 00:00:00""|Federal Shipping|17|Alice Mutton|39.0000|6|0.0|234.0|74.4400",,
"Bottom-Dollar Markets|""23 Tsawassen Blvd.""|Tsawassen|BC|T2F 8M4|Canada|BOTTM|Bottom-Dollar Markets|""23 Tsawassen Blvd.""|Tsawassen|BC|T2F 8M4|Canada|0.0|10949|""1998-03-13 00:00:00""|""1998-04-10 00:00:00""|""1998-03-17 00:00:00""|Federal Shipping|62|Tarte au sucre|49.3000|60|0.0|2958.0|74.4400",,
"Ernst Handel|Kirchgasse 6|Graz||""8010""|Austria|ERNSH|Ernst Handel|Kirchgasse 6|Graz||""8010""|Austria|0.0|10990|""1998-04-01 00:00:00""|""1998-05-13 00:00:00""|""1998-04-07 00:00:00""|Federal Shipping|21|Sir Rodney's Scones|10.0000|65|0.0|650.0|117.6100",,
"Ernst Handel|Kirchgasse 6|Graz||""8010""|Austria|ERNSH|Ernst Handel|Kirchgasse 6|Graz||""8010""|Austria|0.0|10990|""1998-04-01 00:00:00""|""1998-05-13 00:00:00""|""1998-04-07 00:00:00""|Federal Shipping|34|Sasquatch Ale|14.0000|60|0.0|840.0|117.6100",,
"Ernst Handel|Kirchgasse 6|Graz||""8010""|Austria|ERNSH|Ernst Handel|Kirchgasse 6|Graz||""8010""|Austria|0.0|10990|""1998-04-01 00:00:00""|""1998-05-13 00:00:00""|""1998-04-07 00:00:00""|Federal Shipping|55|Pt chinois|24.0000|65|0.0|1560.0|117.6100",,
"Ernst Handel|Kirchgasse 6|Graz||""8010""|Austria|ERNSH|Ernst Handel|Kirchgasse 6|Graz||""8010""|Austria|0.0|10990|""1998-04-01 00:00:00""|""1998-05-13 00:00:00""|""1998-04-07 00:00:00""|Federal Shipping|61|Sirop d'rable|28.5000|66|0.0|1881.0|117.6100",,
"Vaffeljernet|Smagsloget 45|rhus||""8200""|Denmark|VAFFE|Vaffeljernet|Smagsloget 45|rhus||""8200""|Denmark|0.0|10994|""1998-04-02 00:00:00""|""1998-04-16 00:00:00""|""1998-04-09 00:00:00""|Federal Shipping|59|Raclette Courdavault|55.0000|18|0.0|990.0|65.5300",,
"Rattlesnake Canyon Grocery|""2817 Milton Dr.""|Albuquerque|NM|""87110""|USA|RATTC|Rattlesnake Canyon Grocery|""2817 Milton Dr.""|Albuquerque|NM|""87110""|USA|0.0|11000|""1998-04-06 00:00:00""|""1998-05-04 00:00:00""|""1998-04-14 00:00:00""|Federal Shipping|4|Chef Anton's Cajun Seasoning|22.0000|25|0.0|550.0|55.1200",,
"Rattlesnake Canyon Grocery|""2817 Milton Dr.""|Albuquerque|NM|""87110""|USA|RATTC|Rattlesnake Canyon Grocery|""2817 Milton Dr.""|Albuquerque|NM|""87110""|USA|0.0|11000|""1998-04-06 00:00:00""|""1998-05-04 00:00:00""|""1998-04-14 00:00:00""|Federal Shipping|24|Guaran Fantstica|4.5000|30|0.0|135.0|55.1200",,
"Rattlesnake Canyon Grocery|""2817 Milton Dr.""|Albuquerque|NM|""87110""|USA|RATTC|Rattlesnake Canyon Grocery|""2817 Milton Dr.""|Albuquerque|NM|""87110""|USA|0.0|11000|""1998-04-06 00:00:00""|""1998-05-04 00:00:00""|""1998-04-14 00:00:00""|Federal Shipping|77|Original Frankfurter grne Soe|13.0000|30|0.0|390.0|55.1200",,
"LINO-Delicateses|Ave. 5 de Mayo Porlamar|I. de Margarita|Nueva Esparta|""4980""|Venezuela|LINOD|LINO-Delicateses|Ave. 5 de Mayo Porlamar|I. de Margarita|Nueva Esparta|""4980""|Venezuela|0.0|11014|""1998-04-10 00:00:00""|""1998-05-08 00:00:00""|""1998-04-15 00:00:00""|Federal Shipping|41|Jack's New England Clam Chowder|9.6500|28|0.0|270.0|23.6000",,
"White Clover Markets|""1029 - 12th Ave. S.""|Seattle|WA|""98124""|USA|WHITC|White Clover Markets|""305 - 14th Ave. S. Suite 3B""|Seattle|WA|""98128""|USA|0.0|11032|""1998-04-17 00:00:00""|""1998-05-15 00:00:00""|""1998-04-23 00:00:00""|Federal Shipping|36|Inlagd Sill|19.0000|35|0.0|665.0|606.1900",,
"White Clover Markets|""1029 - 12th Ave. S.""|Seattle|WA|""98124""|USA|WHITC|White Clover Markets|""305 - 14th Ave. S. Suite 3B""|Seattle|WA|""98128""|USA|0.0|11032|""1998-04-17 00:00:00""|""1998-05-15 00:00:00""|""1998-04-23 00:00:00""|Federal Shipping|38|Cte de Blaye|263.5000|25|0.0|6587.0|606.1900",,
"White Clover Markets|""1029 - 12th Ave. S.""|Seattle|WA|""98124""|USA|WHITC|White Clover Markets|""305 - 14th Ave. S. Suite 3B""|Seattle|WA|""98128""|USA|0.0|11032|""1998-04-17 00:00:00""|""1998-05-15 00:00:00""|""1998-04-23 00:00:00""|Federal Shipping|59|Raclette Courdavault|55.0000|30|0.0|1650.0|606.1900",,
"Vins et alcools Chevalier|""59 rue de l-Abbaye""|Reims||""51100""|France|VINET|Vins et alcools Chevalier|""59 rue de l'Abbaye""|Reims||""51100""|France|0.0|10295|""1996-09-02 00:00:00""|""1996-09-30 00:00:00""|""1996-09-10 00:00:00""|United Package|56|Gnocchi di nonna Alice|30.4000|4|0.0|121.0|1.1500",,
"Magazzini Alimentari Riuniti|Via Ludovico il Moro 22|Bergamo||""24100""|Italy|MAGAA|Magazzini Alimentari Riuniti|Via Ludovico il Moro 22|Bergamo||""24100""|Italy|0.0|10300|""1996-09-09 00:00:00""|""1996-10-07 00:00:00""|""1996-09-18 00:00:00""|United Package|66|Louisiana Hot Spiced Okra|13.6000|30|0.0|408.0|17.6800",,
"Magazzini Alimentari Riuniti|Via Ludovico il Moro 22|Bergamo||""24100""|Italy|MAGAA|Magazzini Alimentari Riuniti|Via Ludovico il Moro 22|Bergamo||""24100""|Italy|0.0|10300|""1996-09-09 00:00:00""|""1996-10-07 00:00:00""|""1996-09-18 00:00:00""|United Package|68|Scottish Longbreads|10.0000|20|0.0|200.0|17.6800",,
"Lonesome Pine Restaurant|""89 Chiaroscuro Rd.""|Portland|OR|""97219""|USA|LONEP|Lonesome Pine Restaurant|""89 Chiaroscuro Rd.""|Portland|OR|""97219""|USA|0.0|10307|""1996-09-17 00:00:00""|""1996-10-15 00:00:00""|""1996-09-25 00:00:00""|United Package|62|Tarte au sucre|39.4000|10|0.0|394.0|0.5600",,
"Lonesome Pine Restaurant|""89 Chiaroscuro Rd.""|Portland|OR|""97219""|USA|LONEP|Lonesome Pine Restaurant|""89 Chiaroscuro Rd.""|Portland|OR|""97219""|USA|0.0|10307|""1996-09-17 00:00:00""|""1996-10-15 00:00:00""|""1996-09-25 00:00:00""|United Package|68|Scottish Longbreads|10.0000|3|0.0|30.0|0.5600",,
"Die Wandernde Kuh|Adenauerallee 900|Stuttgart||""70563""|Germany|WANDK|Die Wandernde Kuh|Adenauerallee 900|Stuttgart||""70563""|Germany|0.0|10312|""1996-09-23 00:00:00""|""1996-10-21 00:00:00""|""1996-10-03 00:00:00""|United Package|28|Rssle Sauerkraut|36.4000|4|0.0|145.0|40.2600",,
"Die Wandernde Kuh|Adenauerallee 900|Stuttgart||""70563""|Germany|WANDK|Die Wandernde Kuh|Adenauerallee 900|Stuttgart||""70563""|Germany|0.0|10312|""1996-09-23 00:00:00""|""1996-10-21 00:00:00""|""1996-10-03 00:00:00""|United Package|43|Ipoh Coffee|36.8000|24|0.0|883.0|40.2600",,
"Die Wandernde Kuh|Adenauerallee 900|Stuttgart||""70563""|Germany|WANDK|Die Wandernde Kuh|Adenauerallee 900|Stuttgart||""70563""|Germany|0.0|10312|""1996-09-23 00:00:00""|""1996-10-21 00:00:00""|""1996-10-03 00:00:00""|United Package|53|Perth Pasties|26.2000|20|0.0|524.0|40.2600",,
"Die Wandernde Kuh|Adenauerallee 900|Stuttgart||""70563""|Germany|WANDK|Die Wandernde Kuh|Adenauerallee 900|Stuttgart||""70563""|Germany|0.0|10312|""1996-09-23 00:00:00""|""1996-10-21 00:00:00""|""1996-10-03 00:00:00""|United Package|75|Rhnbru Klosterbier|6.2000|10|0.0|62.0|40.2600",,
"QUICK-Stop|Taucherstrae 10|Cunewalde||""1307""|Germany|QUICK|QUICK-Stop|Taucherstrae 10|Cunewalde||""01307""|Germany|0.0|10313|""1996-09-24 00:00:00""|""1996-10-22 00:00:00""|""1996-10-04 00:00:00""|United Package|36|Inlagd Sill|15.2000|12|0.0|182.0|1.9600",,
"Mre Paillarde|""43 rue St. Laurent""|Montral|Qubec|H1J 1C3|Canada|MEREP|Mre Paillarde|""43 rue St. Laurent""|Montral|Qubec|H1J 1C3|Canada|0.0|10339|""1996-10-28 00:00:00""|""1996-11-25 00:00:00""|""1996-11-04 00:00:00""|United Package|4|Chef Anton's Cajun Seasoning|17.6000|10|0.0|176.0|15.6600",,
"Mre Paillarde|""43 rue St. Laurent""|Montral|Qubec|H1J 1C3|Canada|MEREP|Mre Paillarde|""43 rue St. Laurent""|Montral|Qubec|H1J 1C3|Canada|0.0|10339|""1996-10-28 00:00:00""|""1996-11-25 00:00:00""|""1996-11-04 00:00:00""|United Package|17|Alice Mutton|31.2000|70|0.0|2184.0|15.6600",,
"Mre Paillarde|""43 rue St. Laurent""|Montral|Qubec|H1J 1C3|Canada|MEREP|Mre Paillarde|""43 rue St. Laurent""|Montral|Qubec|H1J 1C3|Canada|0.0|10339|""1996-10-28 00:00:00""|""1996-11-25 00:00:00""|""1996-11-04 00:00:00""|United Package|62|Tarte au sucre|39.4000|28|0.0|1103.0|15.6600",,
"QUICK-Stop|Taucherstrae 10|Cunewalde||""1307""|Germany|QUICK|QUICK-Stop|Taucherstrae 10|Cunewalde||""01307""|Germany|0.0|10345|""1996-11-04 00:00:00""|""1996-12-02 00:00:00""|""1996-11-11 00:00:00""|United Package|8|Northwoods Cranberry Sauce|32.0000|70|0.0|2240.0|249.0600",,
"QUICK-Stop|Taucherstrae 10|Cunewalde||""1307""|Germany|QUICK|QUICK-Stop|Taucherstrae 10|Cunewalde||""01307""|Germany|0.0|10345|""1996-11-04 00:00:00""|""1996-12-02 00:00:00""|""1996-11-11 00:00:00""|United Package|19|Teatime Chocolate Biscuits|7.3000|80|0.0|584.0|249.0600",,
"QUICK-Stop|Taucherstrae 10|Cunewalde||""1307""|Germany|QUICK|QUICK-Stop|Taucherstrae 10|Cunewalde||""01307""|Germany|0.0|10345|""1996-11-04 00:00:00""|""1996-12-02 00:00:00""|""1996-11-11 00:00:00""|United Package|42|Singaporean Hokkien Fried Mee|11.2000|9|0.0|100.0|249.0600",,
"Ernst Handel|Kirchgasse 6|Graz||""8010""|Austria|ERNSH|Ernst Handel|Kirchgasse 6|Graz||""8010""|Austria|0.0|10368|""1996-11-29 00:00:00""|""1996-12-27 00:00:00""|""1996-12-02 00:00:00""|United Package|21|Sir Rodney's Scones|8.0000|5|0.0|40.0|101.9500",,
"Ernst Handel|Kirchgasse 6|Graz||""8010""|Austria|ERNSH|Ernst Handel|Kirchgasse 6|Graz||""8010""|Austria|0.0|10368|""1996-11-29 00:00:00""|""1996-12-27 00:00:00""|""1996-12-02 00:00:00""|United Package|28|Rssle Sauerkraut|36.4000|13|0.0|473.0|101.9500",,
"Ernst Handel|Kirchgasse 6|Graz||""8010""|Austria|ERNSH|Ernst Handel|Kirchgasse 6|Graz||""8010""|Austria|0.0|10368|""1996-11-29 00:00:00""|""1996-12-27 00:00:00""|""1996-12-02 00:00:00""|United Package|57|Ravioli Angelo|15.6000|25|0.0|390.0|101.9500",,
"Ernst Handel|Kirchgasse 6|Graz||""8010""|Austria|ERNSH|Ernst Handel|Kirchgasse 6|Graz||""8010""|Austria|0.0|10368|""1996-11-29 00:00:00""|""1996-12-27 00:00:00""|""1996-12-02 00:00:00""|United Package|64|Wimmers gute Semmelkndel|26.6000|35|0.0|931.0|101.9500",,
"Ottilies Kseladen|Mehrheimerstr. 369|Kln||""50739""|Germany|OTTIK|Ottilies Kseladen|Mehrheimerstr. 369|Kln||""50739""|Germany|0.0|10407|""1997-01-07 00:00:00""|""1997-02-04 00:00:00""|""1997-01-30 00:00:00""|United Package|11|Queso Cabrales|16.8000|30|0.0|504.0|91.4800",,
"Ottilies Kseladen|Mehrheimerstr. 369|Kln||""50739""|Germany|OTTIK|Ottilies Kseladen|Mehrheimerstr. 369|Kln||""50739""|Germany|0.0|10407|""1997-01-07 00:00:00""|""1997-02-04 00:00:00""|""1997-01-30 00:00:00""|United Package|69|Gudbrandsdalsost|28.8000|15|0.0|432.0|91.4800",,
"Ottilies Kseladen|Mehrheimerstr. 369|Kln||""50739""|Germany|OTTIK|Ottilies Kseladen|Mehrheimerstr. 369|Kln||""50739""|Germany|0.0|10407|""1997-01-07 00:00:00""|""1997-02-04 00:00:00""|""1997-01-30 00:00:00""|United Package|71|Flotemysost|17.2000|15|0.0|258.0|91.4800",,
Queen Cozinha|Alameda dos Canrios," 891|Sao Paulo|SP|""05487-020""|Brazil|QUEEN|Queen Cozinha|Alameda dos Canrios"," 891|Sao Paulo|SP|""05487-020""|Brazil|0.0|10487|""1997-03-26 00:00:00""|""1997-04-23 00:00:00""|""1997-03-28 00:00:00""|United Package|19|Teatime Chocolate Biscuits|7.3000|5|0.0|36.0|71.0700"
Queen Cozinha|Alameda dos Canrios," 891|Sao Paulo|SP|""05487-020""|Brazil|QUEEN|Queen Cozinha|Alameda dos Canrios"," 891|Sao Paulo|SP|""05487-020""|Brazil|0.0|10487|""1997-03-26 00:00:00""|""1997-04-23 00:00:00""|""1997-03-28 00:00:00""|United Package|26|Gumbr Gummibrchen|24.9000|30|0.0|747.0|71.0700"
Queen Cozinha|Alameda dos Canrios," 891|Sao Paulo|SP|""05487-020""|Brazil|QUEEN|Queen Cozinha|Alameda dos Canrios"," 891|Sao Paulo|SP|""05487-020""|Brazil|0.0|10487|""1997-03-26 00:00:00""|""1997-04-23 00:00:00""|""1997-03-28 00:00:00""|United Package|54|Tourtire|5.9000|24|0.0|141.0|71.0700"
"Wartian Herkku|Torikatu 38|Oulu||""90110""|Finland|WARTH|Wartian Herkku|Torikatu 38|Oulu||""90110""|Finland|0.0|10553|""1997-05-30 00:00:00""|""1997-06-27 00:00:00""|""1997-06-03 00:00:00""|United Package|11|Queso Cabrales|21.0000|15|0.0|315.0|149.4900",,
"Wartian Herkku|Torikatu 38|Oulu||""90110""|Finland|WARTH|Wartian Herkku|Torikatu 38|Oulu||""90110""|Finland|0.0|10553|""1997-05-30 00:00:00""|""1997-06-27 00:00:00""|""1997-06-03 00:00:00""|United Package|16|Pavlova|17.4500|14|0.0|244.0|149.4900",,
"Wartian Herkku|Torikatu 38|Oulu||""90110""|Finland|WARTH|Wartian Herkku|Torikatu 38|Oulu||""90110""|Finland|0.0|10553|""1997-05-30 00:00:00""|""1997-06-27 00:00:00""|""1997-06-03 00:00:00""|United Package|22|Gustaf's Knckebrd|21.0000|24|0.0|504.0|149.4900",,
"Wartian Herkku|Torikatu 38|Oulu||""90110""|Finland|WARTH|Wartian Herkku|Torikatu 38|Oulu||""90110""|Finland|0.0|10553|""1997-05-30 00:00:00""|""1997-06-27 00:00:00""|""1997-06-03 00:00:00""|United Package|31|Gorgonzola Telino|12.5000|30|0.0|375.0|149.4900",,
"Wartian Herkku|Torikatu 38|Oulu||""90110""|Finland|WARTH|Wartian Herkku|Torikatu 38|Oulu||""90110""|Finland|0.0|10553|""1997-05-30 00:00:00""|""1997-06-27 00:00:00""|""1997-06-03 00:00:00""|United Package|35|Steeleye Stout|18.0000|6|0.0|108.0|149.4900",,
"Folk och f HB|kergatan 24|Brcke||S-844 67|Sweden|FOLKO|Folk och f HB|kergatan 24|Brcke||S-844 67|Sweden|0.0|10561|""1997-06-06 00:00:00""|""1997-07-04 00:00:00""|""1997-06-09 00:00:00""|United Package|44|Gula Malacca|19.4500|10|0.0|194.0|242.2100",,
"Folk och f HB|kergatan 24|Brcke||S-844 67|Sweden|FOLKO|Folk och f HB|kergatan 24|Brcke||S-844 67|Sweden|0.0|10561|""1997-06-06 00:00:00""|""1997-07-04 00:00:00""|""1997-06-09 00:00:00""|United Package|51|Manjimup Dried Apples|53.0000|50|0.0|2650.0|242.2100",,
Ricardo Adocicados|Av. Copacabana," 267|Rio de Janeiro|RJ|""02389-890""|Brazil|RICAR|Ricardo Adocicados|Av. Copacabana"," 267|Rio de Janeiro|RJ|""02389-890""|Brazil|0.0|10563|""1997-06-10 00:00:00""|""1997-07-22 00:00:00""|""1997-06-24 00:00:00""|United Package|36|Inlagd Sill|19.0000|25|0.0|475.0|60.4300"
Ricardo Adocicados|Av. Copacabana," 267|Rio de Janeiro|RJ|""02389-890""|Brazil|RICAR|Ricardo Adocicados|Av. Copacabana"," 267|Rio de Janeiro|RJ|""02389-890""|Brazil|0.0|10563|""1997-06-10 00:00:00""|""1997-07-22 00:00:00""|""1997-06-24 00:00:00""|United Package|52|Filo Mix|7.0000|70|0.0|490.0|60.4300"
"Wartian Herkku|Torikatu 38|Oulu||""90110""|Finland|WARTH|Wartian Herkku|Torikatu 38|Oulu||""90110""|Finland|0.0|10583|""1997-06-30 00:00:00""|""1997-07-28 00:00:00""|""1997-07-04 00:00:00""|United Package|29|Thringer Rostbratwurst|123.7900|10|0.0|1237.0|7.2800",,
"Wartian Herkku|Torikatu 38|Oulu||""90110""|Finland|WARTH|Wartian Herkku|Torikatu 38|Oulu||""90110""|Finland|0.0|10583|""1997-06-30 00:00:00""|""1997-07-28 00:00:00""|""1997-07-04 00:00:00""|United Package|60|Camembert Pierrot|34.0000|24|0.0|816.0|7.2800",,
"Wartian Herkku|Torikatu 38|Oulu||""90110""|Finland|WARTH|Wartian Herkku|Torikatu 38|Oulu||""90110""|Finland|0.0|10583|""1997-06-30 00:00:00""|""1997-07-28 00:00:00""|""1997-07-04 00:00:00""|United Package|69|Gudbrandsdalsost|36.0000|10|0.0|360.0|7.2800",,
"Save-a-lot Markets|""187 Suffolk Ln.""|Boise|ID|""83720""|USA|SAVEA|Save-a-lot Markets|""187 Suffolk Ln.""|Boise|ID|""83720""|USA|0.0|10657|""1997-09-04 00:00:00""|""1997-10-02 00:00:00""|""1997-09-15 00:00:00""|United Package|15|Genen Shouyu|15.5000|50|0.0|775.0|352.6900",,
"Save-a-lot Markets|""187 Suffolk Ln.""|Boise|ID|""83720""|USA|SAVEA|Save-a-lot Markets|""187 Suffolk Ln.""|Boise|ID|""83720""|USA|0.0|10657|""1997-09-04 00:00:00""|""1997-10-02 00:00:00""|""1997-09-15 00:00:00""|United Package|41|Jack's New England Clam Chowder|9.6500|24|0.0|231.0|352.6900",,
"Save-a-lot Markets|""187 Suffolk Ln.""|Boise|ID|""83720""|USA|SAVEA|Save-a-lot Markets|""187 Suffolk Ln.""|Boise|ID|""83720""|USA|0.0|10657|""1997-09-04 00:00:00""|""1997-10-02 00:00:00""|""1997-09-15 00:00:00""|United Package|46|Spegesild|12.0000|45|0.0|540.0|352.6900",,
"Save-a-lot Markets|""187 Suffolk Ln.""|Boise|ID|""83720""|USA|SAVEA|Save-a-lot Markets|""187 Suffolk Ln.""|Boise|ID|""83720""|USA|0.0|10657|""1997-09-04 00:00:00""|""1997-10-02 00:00:00""|""1997-09-15 00:00:00""|United Package|47|Zaanse koeken|9.5000|10|0.0|95.0|352.6900",,
"Save-a-lot Markets|""187 Suffolk Ln.""|Boise|ID|""83720""|USA|SAVEA|Save-a-lot Markets|""187 Suffolk Ln.""|Boise|ID|""83720""|USA|0.0|10657|""1997-09-04 00:00:00""|""1997-10-02 00:00:00""|""1997-09-15 00:00:00""|United Package|56|Gnocchi di nonna Alice|38.0000|45|0.0|1710.0|352.6900",,
"Save-a-lot Markets|""187 Suffolk Ln.""|Boise|ID|""83720""|USA|SAVEA|Save-a-lot Markets|""187 Suffolk Ln.""|Boise|ID|""83720""|USA|0.0|10657|""1997-09-04 00:00:00""|""1997-10-02 00:00:00""|""1997-09-15 00:00:00""|United Package|60|Camembert Pierrot|34.0000|30|0.0|1020.0|352.6900",,
"Bon app-|""12"," rue des Bouchers""|Marseille||""13008""|France|BONAP|Bon app'|""12"," rue des Bouchers""|Marseille||""13008""|France|0.0|10663|""1997-09-10 00:00:00""|""1997-09-24 00:00:00""|""1997-10-03 00:00:00""|United Package|40|Boston Crab Meat|18.4000|30|0.0|552.0|113.1500"
"Bon app-|""12"," rue des Bouchers""|Marseille||""13008""|France|BONAP|Bon app'|""12"," rue des Bouchers""|Marseille||""13008""|France|0.0|10663|""1997-09-10 00:00:00""|""1997-09-24 00:00:00""|""1997-10-03 00:00:00""|United Package|42|Singaporean Hokkien Fried Mee|14.0000|30|0.0|420.0|113.1500"
"Bon app-|""12"," rue des Bouchers""|Marseille||""13008""|France|BONAP|Bon app'|""12"," rue des Bouchers""|Marseille||""13008""|France|0.0|10663|""1997-09-10 00:00:00""|""1997-09-24 00:00:00""|""1997-10-03 00:00:00""|United Package|51|Manjimup Dried Apples|53.0000|20|0.0|1060.0|113.1500"
"Tortuga Restaurante|Avda. Azteca 123|Mxico D.F.||""5033""|Mexico|TORTU|Tortuga Restaurante|Avda. Azteca 123|Mxico D.F.||""05033""|Mexico|0.0|10676|""1997-09-22 00:00:00""|""1997-10-20 00:00:00""|""1997-09-29 00:00:00""|United Package|10|Ikura|31.0000|2|0.0|62.0|2.0100",,
"Tortuga Restaurante|Avda. Azteca 123|Mxico D.F.||""5033""|Mexico|TORTU|Tortuga Restaurante|Avda. Azteca 123|Mxico D.F.||""05033""|Mexico|0.0|10676|""1997-09-22 00:00:00""|""1997-10-20 00:00:00""|""1997-09-29 00:00:00""|United Package|19|Teatime Chocolate Biscuits|9.2000|7|0.0|64.0|2.0100",,
"Tortuga Restaurante|Avda. Azteca 123|Mxico D.F.||""5033""|Mexico|TORTU|Tortuga Restaurante|Avda. Azteca 123|Mxico D.F.||""05033""|Mexico|0.0|10676|""1997-09-22 00:00:00""|""1997-10-20 00:00:00""|""1997-09-29 00:00:00""|United Package|44|Gula Malacca|19.4500|21|0.0|408.0|2.0100",,
"QUICK-Stop|Taucherstrae 10|Cunewalde||""1307""|Germany|QUICK|QUICK-Stop|Taucherstrae 10|Cunewalde||""01307""|Germany|0.0|10691|""1997-10-03 00:00:00""|""1997-11-14 00:00:00""|""1997-10-22 00:00:00""|United Package|1|Chai|18.0000|30|0.0|540.0|810.0500",,
"QUICK-Stop|Taucherstrae 10|Cunewalde||""1307""|Germany|QUICK|QUICK-Stop|Taucherstrae 10|Cunewalde||""01307""|Germany|0.0|10691|""1997-10-03 00:00:00""|""1997-11-14 00:00:00""|""1997-10-22 00:00:00""|United Package|29|Thringer Rostbratwurst|123.7900|40|0.0|4951.0|810.0500",,
"QUICK-Stop|Taucherstrae 10|Cunewalde||""1307""|Germany|QUICK|QUICK-Stop|Taucherstrae 10|Cunewalde||""01307""|Germany|0.0|10691|""1997-10-03 00:00:00""|""1997-11-14 00:00:00""|""1997-10-22 00:00:00""|United Package|43|Ipoh Coffee|46.0000|40|0.0|1840.0|810.0500",,
"QUICK-Stop|Taucherstrae 10|Cunewalde||""1307""|Germany|QUICK|QUICK-Stop|Taucherstrae 10|Cunewalde||""01307""|Germany|0.0|10691|""1997-10-03 00:00:00""|""1997-11-14 00:00:00""|""1997-10-22 00:00:00""|United Package|44|Gula Malacca|19.4500|24|0.0|466.0|810.0500",,
